u_sol_irr,u_t_amb,capex_pv,opex_pv,capex_pemel,opex_pemel,life_pemel,repl_pemel,capex_dcdc,opex_dcdc,int_rate,infl_rate,LCOH,mh2
0.973268,0.211823,498.103714,18.745644,1980.451202,0.048674,97304.99268,0.153892,194.071198,0.030744,0.05788,0.01725,12.961701,114.076024
0.998268,-0.088177,466.853714,16.120644,1717.951202,0.046174,82304.99268,0.172642,106.571198,0.015744,0.07288,0.02475,11.321296,116.894303
1.098268,0.311823,591.853714,17.620644,2067.951202,0.036174,62304.99268,0.197642,156.571198,0.035744,0.05288,0.01475,11.63386,127.210274
1.048268,-0.288177,529.353714,16.870644,1892.951202,0.041174,72304.99268,0.160142,131.571198,0.045744,0.06288,0.01975,11.557234,122.267015
0.948268,0.111823,404.353714,18.370644,1542.951202,0.031174,92304.99268,0.185142,181.571198,0.025744,0.04288,0.02975,8.109012,111.323024
0.935768,-0.138177,482.478714,17.808144,1411.701202,0.032424,89804.99268,0.157017,100.321198,0.043244,0.04038,0.026,7.790004,109.995254
1.035768,0.261823,357.478714,16.308144,1761.701202,0.042424,69804.99268,0.182017,150.321198,0.023244,0.06038,0.016,10.713881,120.788917
1.085768,-0.338177,419.978714,18.558144,1936.701202,0.037424,79804.99268,0.169517,125.321198,0.013244,0.05038,0.011,10.468322,126.146833
0.985768,0.061823,544.978714,17.058144,1586.701202,0.047424,99804.99268,0.194517,175.321198,0.033244,0.07038,0.021,11.380171,115.490648
0.960768,-0.238177,388.728714,18.183144,2024.201202,0.049924,84804.99268,0.175767,112.821198,0.018244,0.05538,0.0185,12.798064,112.823743
1.060768,0.161823,513.728714,16.683144,1674.201202,0.039924,64804.99268,0.150767,162.821198,0.038244,0.07538,0.0285,10.6515,123.430307
1.010768,-0.038177,576.228714,18.933144,1499.201202,0.044924,74804.99268,0.188267,137.821198,0.048244,0.04538,0.0235,9.588544,118.22367
0.910768,0.361823,451.228714,17.433144,1849.201202,0.034924,94804.99268,0.163267,187.821198,0.028244,0.06538,0.0135,12.605478,107.052187
0.907643,-0.200677,494.197464,18.511269,1685.138702,0.046487,75429.99268,0.182798,142.508698,0.035119,0.077255,0.027563,12.90552,106.8608
1.007643,0.199323,369.197464,17.011269,2035.138702,0.036487,95429.99268,0.157798,192.508698,0.015119,0.057255,0.017563,11.169276,117.817508
1.057643,-0.000677,431.697464,17.761269,1860.138702,0.041487,85429.99268,0.195298,117.508698,0.025119,0.067255,0.012563,11.599195,123.15558
0.957643,0.399323,556.697464,16.261269,1510.138702,0.031487,65429.99268,0.170298,167.508698,0.045119,0.047255,0.022563,9.42073,112.284675
0.982643,-0.100677,400.447464,18.886269,1772.638702,0.033987,70429.99268,0.151548,130.008698,0.020119,0.062255,0.015063,10.92225,115.196978
1.082643,0.299323,525.447464,17.386269,1422.638702,0.043987,90429.99268,0.176548,180.008698,0.040119,0.042255,0.025063,7.987569,125.635927
1.032643,-0.300677,587.947464,18.136269,1597.638702,0.038987,80429.99268,0.164048,105.008698,0.030119,0.072255,0.020063,10.729828,120.629656
0.932643,0.099323,462.947464,16.636269,1947.638702,0.048987,60429.99268,0.189048,155.008698,0.010119,0.052255,0.010063,13.533775,109.577066
0.945143,-0.050677,541.072464,17.198769,2078.888702,0.047737,77929.99268,0.167173,136.258698,0.037619,0.054755,0.013813,14.083175,111.021253
1.045143,0.349323,416.072464,18.698769,1728.888702,0.037737,97929.99268,0.192173,186.258698,0.017619,0.074755,0.023813,10.496715,121.745844
1.095143,-0.250677,353.572464,16.448769,1553.888702,0.042737,87929.99268,0.154673,111.258698,0.027619,0.044755,0.028813,7.451729,127.067592
0.995143,0.149323,478.572464,17.948769,1903.888702,0.032737,67929.99268,0.179673,161.258698,0.047619,0.064755,0.018813,11.887527,116.484407
0.970143,-0.350677,447.322464,16.823769,1466.388702,0.030237,72929.99268,0.198423,148.758698,0.022619,0.049755,0.021313,8.721606,113.898086
1.070143,0.049323,572.322464,18.323769,1816.388702,0.040237,92929.99268,0.173423,198.758698,0.042619,0.069755,0.011313,12.115302,124.435804
1.020143,-0.150677,509.822464,16.073769,1991.388702,0.035237,82929.99268,0.185923,123.758698,0.032619,0.059755,0.016313,11.690614,119.259324
0.920143,0.249323,384.822464,17.573769,1641.388702,0.045237,62929.99268,0.160923,173.758698,0.012619,0.079755,0.026313,12.202712,108.135015
0.913893,-0.175677,423.884964,18.230019,1488.263702,0.040862,96679.99268,0.174986,164.383698,0.041369,0.061005,0.014438,10.756058,107.555532
1.013893,0.224323,548.884964,16.730019,1838.263702,0.030862,76679.99268,0.199986,114.383698,0.021369,0.041005,0.024438,9.386844,118.479345
1.063893,-0.375677,486.384964,18.980019,2013.263702,0.045862,66679.99268,0.162486,189.383698,0.011369,0.071005,0.029438,12.165767,123.921032
0.963893,0.024323,361.384964,17.480019,1663.263702,0.035862,86679.99268,0.187486,139.383698,0.031369,0.051005,0.019438,9.85399,113.094708
0.988893,-0.275677,580.134964,17.855019,1925.763702,0.038362,91679.99268,0.193736,151.883698,0.016369,0.076005,0.021938,12.557454,115.932327
