sol_irr,T_amb,wind_pow
0.033,3.7,0.323
0,4,0.346
0,4.4,0.329
0,3.3,0.274
0,2.2,0.235
0,1.1,0.207
0,0.7,0.169
0,0.4,0.134
0,0,0.115
0,0.6,0.106
0,1.1,0.096
0,1.7,0.076
0,1.9,0.072
0.002,2,0.074
0.215,2.2,0.081
0.444,2.2,0.076
0.612,2.2,0.072
0.722,2.2,0.086
0.777,2.6,0.101
0.781,2.9,0.112
0.737,3.3,0.119
0.639,3.7,0.128
0.482,4,0.14
0.259,4.4,0.133
0.034,4.6,0.145
0,4.8,0.174
0,5,0.179
0,5.4,0.152
0,5.7,0.108
0,6.1,0.085
0,6.3,0.082
0,6.5,0.076
0,6.7,0.053
0,7.4,0.031
0,8.2,0.028
0,8.9,0.042
0,9.1,0.051
0.002,9.2,0.061
0.21,9.4,0.067
0.44,9.2,0.074
0.608,9.1,0.087
0.721,8.9,0.105
0.776,9.3,0.125
0.78,9.6,0.142
0.733,10,0.169
0.634,10.2,0.201
0.475,10.4,0.219
0.25,10.6,0.226
0.032,10.8,0.257
0,10.9,0.297
0,11.1,0.3
0,9.8,0.282
0,8.5,0.272
0,7.2,0.291
0,7.2,0.332
0,7.2,0.382
0,7.2,0.41
0,7.9,0.398
0,8.7,0.369
0,9.4,0.369
0,9.4,0.395
0.003,9.4,0.404
0.21,9.4,0.387
0.436,8.7,0.391
0.604,7.9,0.397
0.72,7.2,0.404
0.775,7.2,0.446
0.78,7.2,0.51
0.74,7.2,0.552
0.643,9.6,0.544
0.487,12,0.488
0.266,14.4,0.425
0.038,14.2,0.407
0,14.1,0.414
0,13.9,0.423
0,11.1,0.432
0,8.4,0.41
0,5.6,0.343
0,4.7,0.284
0,3.7,0.259
0,2.8,0.22
0,3.5,0.202
0,4.3,0.2
0,5,0.237
0,5.2,0.299
0.001,5.4,0.294
0.118,5.6,0.255
0.368,5.2,0.249
0.552,4.8,0.232
0.695,4.4,0.218
0.768,4.8,0.212
0.781,5.2,0.202
0.737,5.6,0.177
0.637,5.8,0.161
0.482,5.9,0.182
0.262,6.1,0.167
0.036,6.3,0.155
0,6.5,0.211
0,6.7,0.221
0,6.1,0.182
0,5.6,0.186
0,5,0.188
0,4.8,0.158
0,4.6,0.136
0,4.4,0.122
0,4.4,0.128
0,4.4,0.118
0,4.4,0.1
0,5.2,0.076
0.003,5.9,0.07
0.215,6.7,0.071
0.445,6.5,0.062
0.613,6.3,0.058
0.721,6.1,0.048
0.776,6.5,0.036
0.781,6.8,0.03
0.735,7.2,0.022
0.637,7.6,0.018
0.481,7.9,0.022
0.261,8.3,0.02
0.036,8.3,0.029
0,8.3,0.047
0,8.3,0.047
0,7.6,0.024
0,6.8,0.006
0,6.1,0.001
0,6.3,0.001
0,6.5,0
0,6.7,0
0,6.9,0
0,7,0.001
0,7.2,0.001
0,7.2,0.002
0.003,7.2,0.002
0.196,7.2,0.001
0.419,6.8,0.001
0.586,6.5,0
0.694,6.1,0
0.752,5.7,0
0.756,5.4,0
0.7,5,0
0.6,5.4,0
0.441,5.7,0
0.222,6.1,0.005
0.026,6.1,0.098
0,6.1,0.207
0,6.1,0.205
0,4.4,0.178
0,2.8,0.155
0,1.1,0.133
0,0.7,0.118
0,0.4,0.107
0,1.1,0.097
0,1.9,0.082
0,2.6,0.064
0,3.4,0.059
0,4.1,0.059
0.002,4.9,0.064
0.148,5.6,0.07
0.369,5.6,0.049
