sol_irr,T_amb,wind_pow
0,3.9,0.416
0,4.1,0.386
0,4.2,0.329
0,4.4,0.305
0,4.6,0.325
0.021,4.8,0.361
0.07,5,0.462
0.12,6.1,0.586
0.161,7.2,0.644
0.174,8.3,0.644
0.168,8.3,0.586
0.173,8.3,0.465
0.163,8.3,0.341
0.113,7.2,0.297
0.026,6.1,0.379
0,5,0.494
0,5,0.562
0,5,0.606
0,5,0.657
0,5.4,0.69
0,5.7,0.705
0,6.1,0.724
0,6.1,0.737
0,6.1,0.75
0,6.1,0.771
0,5.5,0.796
0,5,0.809
0,4.4,0.821
0.002,4.6,0.832
0.149,4.8,0.816
0.373,5,0.816
0.523,5.9,0.857
0.616,6.9,0.823
0.665,7.8,0.718
0.586,8.3,0.583
0.425,8.9,0.484
0.306,9.4,0.415
0.229,6.6,0.352
0.054,3.9,0.421
0,1.1,0.586
0,0.4,0.726
0,-0.4,0.791
0,-1.1,0.786
0,-1.5,0.762
0,-1.8,0.741
0,-2.2,0.722
0,-1.1,0.718
0,0,0.706
0,1.1,0.697
0,1.3,0.701
0,1.5,0.708
0,1.7,0.719
0.001,1.5,0.738
0.095,1.3,0.715
0.278,1.1,0.663
0.419,2,0.746
0.516,3,0.814
0.555,3.9,0.778
0.52,5.4,0.69
0.37,6.8,0.605
0.274,8.3,0.539
0.181,5.5,0.454
0.043,2.8,0.504
0,0,0.634
0,-0.7,0.748
0,-1.5,0.822
0,-2.2,0.875
0,-2.2,0.897
0,-2.2,0.91
0,-2.2,0.91
0,-1.8,0.913
0,-1.5,0.931
0,-1.1,0.929
0,-1.7,0.919
0,-2.2,0.907
0,-2.8,0.898
0.001,-1.1,0.896
0.068,0.5,0.888
0.175,2.2,0.876
0.313,4.4,0.868
0.378,6.7,0.867
0.383,8.9,0.875
0.338,10,0.862
0.265,11.1,0.821
0.162,12.2,0.725
0.075,9.4,0.702
0.013,6.7,0.722
0,3.9,0.742
0,3.3,0.748
0,2.8,0.744
0,2.2,0.72
0,2.4,0.724
0,2.6,0.744
0,2.8,0.741
0,3.3,0.716
0,3.9,0.672
0,4.4,0.618
0,3.9,0.6
0,3.3,0.582
0,2.8,0.556
0.001,3,0.567
0.109,3.1,0.544
0.323,3.3,0.495
0.508,3.7,0.516
0.619,4,0.553
0.691,4.4,0.571
0.656,5,0.579
0.571,5.5,0.576
0.461,6.1,0.538
0.25,5.2,0.41
0.058,4.2,0.328
0,3.3,0.311
0,3.3,0.259
0,3.3,0.171
0,3.3,0.091
0,3.3,0.04
0,3.3,0.011
0,3.3,0.002
0,2.6,0.001
0,1.8,0.003
0,1.1,0.008
0,0.5,0.02
0,0,0.039
0,-0.6,0.066
0.004,0,0.09
0.188,0.5,0.097
0.431,1.1,0.045
0.603,2.2,0.012
0.708,3.3,0.017
0.745,4.4,0.032
0.729,4.4,0.042
0.663,4.4,0.051
0.543,4.4,0.064
0.335,3.1,0.079
0.089,1.9,0.162
0,0.6,0.316
0,0.2,0.364
0,-0.2,0.349
0,-0.6,0.347
0,-0.4,0.352
0,-0.2,0.309
0,0,0.301
0,-0.6,0.307
0,-1.1,0.308
0,-1.7,0.299
0,-1.5,0.261
0,-1.3,0.22
0,-1.1,0.202
0.009,-1.5,0.192
0.24,-1.8,0.168
0.489,-2.2,0.192
0.647,-1.3,0.195
0.748,-0.3,0.181
0.776,0.6,0.169
0.761,1.1,0.178
0.694,1.7,0.188
0.567,2.2,0.211
0.371,1.8,0.258
0.112,1.5,0.306
0,1.1,0.358
0,0.5,0.341
0,0,0.3
0,-0.6,0.291
0,-0.2,0.294
0,0.2,0.294
0,0.6,0.297
0,0.8,0.35
0,0.9,0.41
0,1.1,0.448
0,1.1,0.444
0,1.1,0.431
0,1.1,0.415
0.002,1.1,0.374
0.097,1.1,0.325
0.274,1.1,0.358
0.463,1.8,0.341
0.643,2.6,0.33
0.732,3.3,0.348
0.725,3.7,0.396
0.652,4,0.448
0.519,4.4,0.476
0.329,3.3,0.474
0.093,2.2,0.431
0,1.1,0.364
0,0.7,0.337
0,0.4,0.296
0,0,0.264
0,0.6,0.243
0,1.1,0.231
0,1.7,0.24
0,1.9,0.252
0,2,0.289
0,2.2,0.3
0,2.2,0.279
0,2.2,0.239
0,2.2,0.185
0.002,2.6,0.128
0.091,2.9,0.077
0.25,3.3,0.064
0.552,3.7,0.059
0.707,4,0.067
0.762,4.4,0.082
0.746,4.6,0.09
0.681,4.8,0.095
0.543,5,0.103
0.353,5.4,0.119
0.1,5.7,0.167
0,6.1,0.267
0,6.3,0.31
0,6.5,0.303
0,6.7,0.285
0,7.4,0.265
0,8.2,0.247
0,8.9,0.237
0,9.1,0.248
0,9.2,0.258
0,9.4,0.266
0,9.2,0.272
0,9.1,0.279
0,8.9,0.283
0.008,9.3,0.287
0.227,9.6,0.244
0.461,10,0.223
0.613,10.2,0.192
0.7,10.4,0.126
0.74,10.6,0.055
0.703,10.8,0.014
0.605,10.9,0.003
0.394,11.1,0.013
0.212,9.8,0.088
0.051,8.5,0.294
0,7.2,0.47
0,7.2,0.481
0,7.2,0.428
0,7.2,0.379
0,7.9,0.34
0,8.7,0.303
0,9.4,0.271
0,9.4,0.223
0,9.4,0.168
0,9.4,0.112
0,8.7,0.063
0,7.9,0.031
0,7.2,0.022
0.005,7.2,0.031
0.175,7.2,0.042
0.413,7.2,0.037
0.589,9.6,0.026
0.688,12,0.02
0.597,14.4,0.021
0.591,14.2,0.013
0.516,14.1,0.005
0.347,13.9,0.006
0.179,11.1,0.085
0.042,8.4,0.351
0,5.6,0.506
0,4.7,0.484
0,3.7,0.401
0,2.8,0.298
0,3.5,0.204
0,4.3,0.133
0,5,0.08
0,5.2,0.044
0,5.4,0.026
0,5.6,0.034
0,5.2,0.068
0,4.8,0.138
0,4.4,0.258
0.003,4.8,0.391
0.104,5.2,0.433
0.294,5.6,0.389
0.478,5.8,0.468
0.598,5.9,0.305
0.66,6.1,0.136
0.638,6.3,0.076
0.547,6.5,0.055
0.437,6.7,0.058
0.24,6.1,0.068
0.056,5.6,0.105
0,5,0.121
0,4.8,0.103
0,4.6,0.067
0,4.4,0.035
0,4.4,0.018
0,4.4,0.01
0,4.4,0.008
0,5.2,0.012
0,5.9,0.022
0,6.7,0.064
0,6.5,0.162
0,6.3,0.317
0,6.1,0.469
0.005,6.5,0.583
0.118,6.8,0.564
0.249,7.2,0.426
0.382,7.6,0.539
0.477,7.9,0.69
0.547,8.3,0.722
0.502,8.3,0.748
0.416,8.3,0.765
0.313,8.3,0.715
0.159,7.6,0.623
0.034,6.8,0.599
0,6.1,0.547
0,6.3,0.466
0,6.5,0.441
0,6.7,0.429
0,6.9,0.399
0,7,0.398
0,7.2,0.441
0,7.2,0.494
0,7.2,0.561
0,7.2,0.615
0,6.8,0.649
0,6.5,0.647
0,6.1,0.624
0.005,5.7,0.596
0.138,5.4,0.506
0.326,5,0.55
0.467,5.4,0.68
0.566,5.7,0.696
0.665,6.1,0.684
0.64,6.1,0.668
0.505,6.1,0.626
